City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Esil,KZ,66.45,clear sky,51.9556,66.4042,Egorkino Hotel
7,Huarmey,PE,67.3,few clouds,-10.0681,-78.1522,Hotel Miramar
10,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
11,Torbay,CA,69.76,overcast clouds,47.6666,-52.7314,Gallows Cove
13,New Norfolk,AU,50.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
16,Maarianhamina,AX,57.06,clear sky,60.0973,19.9348,Park Alandia Hotel
19,Zaysan,KZ,59.58,clear sky,47.4667,84.8667,Ерлан үй
20,East London,ZA,58.23,overcast clouds,-33.0153,27.9116,Tu Casa
21,Thompson,CA,57.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
23,Kasane,BW,66.49,clear sky,-17.8167,25.15,The Old House
29,Ballina,AU,58.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
32,Metkovic,HR,66.67,overcast clouds,43.0542,17.6483,Neretva Valley Apartments
39,Rio Grande,BR,59.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
44,Pimentel,PE,68.29,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
45,Yellowknife,CA,61.32,few clouds,62.456,-114.3525,The Explorer Hotel
55,Aklavik,CA,50.54,overcast clouds,68.2191,-135.0107,Aklavik Inn
56,Arraial Do Cabo,BR,66.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
58,Grand Gaube,MU,68.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
59,Namibe,AO,64.6,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
62,Kodiak,US,62.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
65,Severo-Kurilsk,RU,53.15,overcast clouds,50.6789,156.125,Kak Doma
67,Bredasdorp,ZA,51.12,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
69,Pinsk,BY,62.49,scattered clouds,52.1229,26.0951,Smart Business Hotel
73,Privas,FR,69.55,broken clouds,44.5833,4.5,"Domaine des loriots : chambres, cabanes et table d'hôtes"
76,Kununurra,AU,64.38,clear sky,-15.7667,128.7333,Hotel Kununurra
80,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Saldanha,ZA,50.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
86,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
90,Okha,RU,54.03,clear sky,53.5739,142.9478,Sakhalin-Sfera
91,Noumea,NC,69.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
96,Havre-Saint-Pierre,CA,64.76,broken clouds,50.2334,-63.5986,Auberge Niapiskau
102,Hobart,AU,51.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
104,Ilulissat,GL,57.22,broken clouds,69.2167,-51.1,Hotel Arctic
107,Mudigere,IN,68.02,moderate rain,13.1333,75.6333,MoonLight Homestay
114,Ketchikan,US,61.27,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
118,Necochea,AR,53.67,clear sky,-38.5473,-58.7368,dyd -mar Hotel
119,Port Alfred,ZA,56.17,broken clouds,-33.5906,26.891,The Halyards Hotel
120,Antofagasta,CL,58.28,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
121,Nikolskoye,RU,62.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
122,Norman Wells,CA,59.04,broken clouds,65.282,-126.8329,Heritage Hotel
126,Sao Mateus Do Sul,BR,52.36,overcast clouds,-25.8742,-50.3828,Hotel Dom Leopoldo
128,Chicama,PE,63.14,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
129,Zheleznodorozhnyy,RU,68.43,clear sky,55.7503,38.0042,Hotel Dali
134,Sorland,NO,51.66,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
136,Port Macquarie,AU,55.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
137,Camana,PE,63.64,scattered clouds,-16.6228,-72.7111,Hostal Morales
139,Husavik,IS,56.53,scattered clouds,66.0449,-17.3389,Bjarnabúð
146,Benguela,AO,69.48,broken clouds,-12.5763,13.4055,Hotel Praia Morena
147,San Jeronimo,PE,56.86,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
148,Port Lincoln,AU,51.98,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
151,Seoul,KR,64.0,moderate rain,37.5683,126.9778,LOTTE HOTEL SEOUL
156,Port Elizabeth,ZA,54.32,scattered clouds,-33.918,25.5701,39 On Nile Guest House
158,Victoria Point,AU,58.95,light rain,-27.5833,153.3,Bay Retreat Motel
164,Fort Nelson,CA,62.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
167,Sitka,US,57.09,moderate rain,57.0531,-135.33,Westmark Sitka
168,Cape Town,ZA,54.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
172,Svarstad,NO,57.56,few clouds,59.399,9.9698,Sogn Gjestegard
173,Dzierzoniow,PL,58.17,overcast clouds,50.7282,16.6514,Versant Hotel & Spa
174,Port Hardy,CA,68.18,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
175,Lima,PE,61.05,broken clouds,-12.0432,-77.0282,Hotel Kamana
178,Ahipara,NZ,54.32,clear sky,-35.1667,173.1667,Ahipara Holiday Park
182,Carnarvon,AU,62.08,clear sky,-24.8667,113.6333,Hospitality Carnarvon
189,Vila Velha,BR,67.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
193,College,US,59.29,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
194,Zell Am See,AT,64.71,clear sky,47.3256,12.7944,Hotel Berner Zell am See
199,San Luis,AR,65.21,clear sky,-33.295,-66.3356,Huarpes Hotel
201,Arroyos Y Esteros,PY,64.2,overcast clouds,-25.0667,-57.1,GPM
208,Mar Del Plata,AR,59.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
217,Vila,PT,56.28,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
220,Komsomolskiy,UZ,68.72,scattered clouds,40.4272,71.7189,Ikathouse
222,Nanlong,CN,65.35,overcast clouds,31.3533,106.0631,Demei Hotel
224,Tucuman,AR,66.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
227,Shakawe,BW,69.04,clear sky,-18.3667,21.85,Ditlhapi Guest House
232,San Isidro,PE,62.19,broken clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
236,Lebu,CL,53.33,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
257,Grajewo,PL,58.17,clear sky,53.6473,22.4554,Folkowa
258,Ussel,FR,64.85,overcast clouds,45.55,2.3167,Logis Hôtel les Gravades
260,Klaksvik,FO,50.92,scattered clouds,62.2266,-6.589,Airbnb rooms
268,Marawi,PH,67.77,overcast clouds,7.9986,124.2928,Derogongan Residence
269,Ushtobe,KZ,62.49,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
276,Saint-Joseph,RE,68.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
279,Quatre Cocos,MU,68.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
280,Biloela,AU,60.35,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
285,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
286,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
292,Ambalavao,MG,56.21,few clouds,-21.8333,46.9333,Hôtel Le Tropik
293,Iwanai,JP,61.0,overcast clouds,42.9744,140.5089,いわない高原ホテル
302,Margate,GB,64.87,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
303,Ialibu,PG,56.03,overcast clouds,-6.2821,143.9935,PITPIT PASPAS GUESTHOUSE
304,Ulladulla,AU,50.9,scattered clouds,-35.35,150.4667,Sandpiper Motel
305,Zonguldak,TR,65.43,clear sky,41.25,31.8333,Yazioren Koyu Muhtarligi
306,Roald,NO,55.33,few clouds,62.5833,6.1333,Flem Cabins
309,Richards Bay,ZA,64.11,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
311,Pisco,PE,62.65,haze,-13.7,-76.2167,Hotel San Isidro Oficial
313,Christchurch,NZ,50.92,clear sky,-43.5333,172.6333,The George
315,Mazyr,BY,66.52,overcast clouds,52.0495,29.2456,Euro Mini-Hotel
321,Saint-Pierre,RE,69.48,heavy intensity rain,-21.3393,55.4781,Alize Plage
325,Santiago De Cao,PE,64.53,fog,-7.9589,-79.2392,Casa de la tía
326,Bom Jesus Dos Perdoes,BR,51.66,overcast clouds,-23.135,-46.4653,Sitio Rancho Apallosa
329,Vestmannaeyjar,IS,54.0,overcast clouds,63.4427,-20.2734,Glamping & Camping
331,Ermelo,ZA,54.68,scattered clouds,-26.5333,29.9833,Zemira Guesthouse
333,Miyang,CN,64.15,overcast clouds,24.4042,103.4428,Huibinlou Hotel
336,Villa Carlos Paz,AR,61.05,clear sky,-31.4241,-64.4978,Monte Carlo vcp
337,Linjiang,CN,56.34,overcast clouds,41.8069,126.9078,格林豪泰
341,Chepareria,KE,59.74,broken clouds,1.3077,35.2039,Hamza Lodge
346,Byron Bay,AU,57.94,overcast clouds,-28.65,153.6167,Backpackers Inn
350,Dvinskoy,RU,60.12,light rain,62.1535,45.1175,Gostinitsa Dvinskaya
354,Mackay,AU,66.69,overcast clouds,-21.15,149.2,International Lodge Motel
356,Kawalu,ID,69.35,overcast clouds,-7.3817,108.2082,West Jontor
358,Pangnirtung,CA,50.0,broken clouds,66.1451,-65.7125,Kilabuk Lodge
362,Chato,TZ,69.98,few clouds,-2.6378,31.7669,Kagudule Lodge
368,Bambous Virieux,MU,68.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
370,Mahajanga,MG,69.82,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
371,Santa Maria,BR,54.7,clear sky,-29.6842,-53.8069,Hotel Morotin
378,Hofn,IS,51.75,overcast clouds,64.2539,-15.2082,Hótel Höfn
379,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
