City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,47.34,85,21,6.33,few clouds
1,Esil,KZ,51.9556,66.4042,66.45,36,5,6.17,clear sky
2,Provideniya,RU,64.3833,-173.3,46.36,100,100,1.99,overcast clouds
3,Jalalabad,AF,34.4265,70.4515,84.38,49,0,2.84,clear sky
4,Albany,US,42.6001,-73.9662,92.03,54,28,4.0,scattered clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,100,2.3,light intensity drizzle
6,Avarua,CK,-21.2078,-159.775,77.05,78,82,5.75,broken clouds
7,Huarmey,PE,-10.0681,-78.1522,67.3,71,12,11.68,few clouds
8,Saint George,US,37.1041,-113.5841,101.79,20,0,1.99,clear sky
9,Mataura,NZ,-46.1927,168.8643,41.49,79,49,2.48,scattered clouds
10,Hasaki,JP,35.7333,140.8333,68.4,90,100,13.62,overcast clouds
11,Torbay,CA,47.6666,-52.7314,69.76,76,100,20.71,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,72.77,83,5,14.54,light rain
13,New Norfolk,AU,-42.7826,147.0587,50.9,73,100,1.54,overcast clouds
14,Shelburne,CA,44.0787,-80.2041,82.76,64,74,14.45,broken clouds
15,Milagro,ES,42.2386,-1.764,74.07,79,13,3.74,few clouds
16,Maarianhamina,AX,60.0973,19.9348,57.06,82,0,6.91,clear sky
17,Sao Filipe,CV,14.8961,-24.4956,78.12,80,100,11.9,overcast clouds
18,Tarko-Sale,RU,64.9225,77.785,47.1,52,100,11.3,overcast clouds
19,Zaysan,KZ,47.4667,84.8667,59.58,34,0,6.29,clear sky
20,East London,ZA,-33.0153,27.9116,58.23,51,100,21.14,overcast clouds
21,Thompson,CA,55.7435,-97.8558,57.36,77,75,14.97,broken clouds
22,Lardos,GR,36.0942,28.0157,80.42,78,0,8.79,clear sky
23,Kasane,BW,-17.8167,25.15,66.49,33,0,5.08,clear sky
24,Adrar,MR,20.5022,-10.0711,93.25,37,88,11.45,overcast clouds
25,Vanavara,RU,60.34,102.2797,36.75,97,100,18.23,light rain
26,Butaritari,KI,3.0707,172.7902,81.84,72,100,16.46,overcast clouds
27,San Cristobal,VE,7.7669,-72.225,86.18,91,100,3.22,overcast clouds
