City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Great Falls,US,2022-08-29 16:43:44,47.5002,-111.3008,72.41,35,0,11.5
1,Codrington,AU,2022-08-29 16:43:45,-38.2667,141.9667,47.75,98,100,10.58
2,Sept-Iles,CA,2022-08-29 16:43:45,50.2001,-66.3821,73.4,72,75,10.36
3,Bluff,NZ,2022-08-29 16:43:45,-46.6,168.3333,44.8,85,56,4.76
4,Port Alfred,ZA,2022-08-29 16:43:46,-33.5906,26.891,53.19,86,100,4.0
5,Albany,US,2022-08-29 16:41:15,42.6001,-73.9662,87.17,64,75,1.01
6,Busselton,AU,2022-08-29 16:43:46,-33.65,115.3333,50.29,81,29,4.14
7,Puerto Ayora,EC,2022-08-29 16:43:46,-0.7393,-90.3518,71.56,93,80,8.99
8,Luderitz,NA,2022-08-29 16:43:47,-26.6481,15.1594,63.28,46,0,22.3
9,Bordighera,IT,2022-08-29 16:43:47,43.7806,7.6645,82.69,82,13,7.0
10,Samarai,PG,2022-08-29 16:43:47,-10.6167,150.6667,79.21,84,98,12.57
11,Geraldton,AU,2022-08-29 16:43:47,-28.7667,114.6,45.01,87,0,8.05
12,Ponta Delgada,PT,2022-08-29 16:43:48,37.7333,-25.6667,74.12,78,20,12.66
13,Paita,PE,2022-08-29 16:43:48,-5.0892,-81.1144,70.7,69,33,9.93
14,Atuona,PF,2022-08-29 16:43:48,-9.8,-139.0333,76.89,66,37,20.8
15,Torbay,CA,2022-08-29 16:43:49,47.6666,-52.7314,74.88,65,100,20.71
16,Kodiak,US,2022-08-29 16:43:49,57.79,-152.4072,49.51,87,100,5.75
17,Uige,AO,2022-08-29 16:43:49,-7.6087,15.0613,75.87,60,85,3.87
18,Charters Towers,AU,2022-08-29 16:43:50,-20.1,146.2667,63.61,95,43,9.15
19,Mar Del Plata,AR,2022-08-29 16:39:28,-38.0023,-57.5575,59.95,34,0,17.27
20,Aklavik,CA,2022-08-29 16:42:20,68.2191,-135.0107,44.98,80,99,6.73
21,Thurso,GB,2022-08-29 16:43:50,58.5927,-3.5259,55.65,73,83,10.6
22,Bathsheba,BB,2022-08-29 16:43:50,13.2167,-59.5167,88.41,70,40,17.27
23,Vestmannaeyjar,IS,2022-08-29 16:43:51,63.4427,-20.2734,54.59,87,100,28.77
24,Baturaja,ID,2022-08-29 16:43:51,-4.1333,104.1667,73.08,98,100,2.42
25,Bennington,US,2022-08-29 16:40:33,42.8781,-73.1968,87.35,64,75,3.44
26,Arman,RU,2022-08-29 16:43:51,59.7,150.1667,52.02,89,100,5.86
27,Hasaki,JP,2022-08-29 16:43:52,35.7333,140.8333,68.4,90,100,15.28
28,Bredasdorp,ZA,2022-08-29 16:43:52,-34.5322,20.0403,48.81,59,16,9.82
29,Bethel,US,2022-08-29 16:43:52,41.3712,-73.414,86.36,64,75,8.05
30,Broome,US,2022-08-29 16:41:22,42.2506,-75.833,87.01,68,40,10.36
31,Victor Harbor,AU,2022-08-29 16:43:53,-35.5667,138.6167,53.01,88,56,1.99
32,Grand Island,US,2022-08-29 16:43:53,40.925,-98.342,78.58,56,0,11.5
33,Avarua,CK,2022-08-29 16:43:53,-21.2078,-159.775,66.25,100,7,2.3
34,Saskylakh,RU,2022-08-29 16:43:54,71.9167,114.0833,40.53,88,96,7.94
35,Carauari,BR,2022-08-29 16:43:54,-4.8828,-66.8958,92.68,44,70,4.27
36,Sitka,US,2022-08-29 16:43:54,57.0531,-135.33,57.09,94,100,4.61
37,Necochea,AR,2022-08-29 16:43:55,-38.5473,-58.7368,58.41,37,1,14.05
38,Thompson,CA,2022-08-29 16:40:12,55.7435,-97.8558,53.76,87,100,16.11
39,Alyangula,AU,2022-08-29 16:43:55,-13.8483,136.4192,72.48,89,0,6.64
40,Butaritari,KI,2022-08-29 16:43:55,3.0707,172.7902,81.66,75,98,15.88
41,Coahuayana,MX,2022-08-29 16:43:56,18.7333,-103.6833,88.9,59,37,4.38
42,Upernavik,GL,2022-08-29 16:43:56,72.7868,-56.1549,38.08,82,40,19.33
43,San Patricio,US,2022-08-29 16:43:56,28.017,-97.5169,89.08,54,11,11.83
44,San Jose De Rio Tinto,HN,2022-08-29 16:43:57,14.9333,-85.7,87.37,66,82,2.55
45,Ushuaia,AR,2022-08-29 16:40:59,-54.8,-68.3,44.26,81,40,2.3
46,Yellowknife,CA,2022-08-29 16:40:46,62.456,-114.3525,54.12,76,40,11.5
